Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
dialog_trader_response_noah,Quest,Dialogs,,,Noah Wright?,,Noah Wright?,¿Noah Wright?,Noah Wright ?,Noah Wright?,ノア・ライト？,노아 라이트?,Noe Wright?,Noah Wright?,Ной Райт?,Noah Wright mı?,诺亚·怀特？,諾亞·賴特？,¿Noah Wright?
dialog_trader_response_resetquests,Quest,Dialogs,,,Reset Quests,,Quests zurücksetzen,Restablecer misiones,Réinitialiser les quêtes,Azzera missioni,クエストをリセット,퀘스트 리셋,Zresetuj zadania,Redefinir missões,Сброс заданий,Görevleri Sıfırla,重置任务,重置任務,Restablecer misiones
dialog_trader_response_restock,Quest,Dialogs,,,Restock Inventory,,Inventar wiederauffüllen,Inventario de repuestos,Réapprovisionner l'inventaire,Fai il rifornimento dell'inventario,在庫を補充,인벤토리 보충,Uzupełnienie ekwipunku,Reabastecer inventário,Пополнить инвентарь,Envanter stokunu doldur,补足物品栏,補充物品欄,Inventario de repuestos
dialog_trader_response_shop,Quest,Dialogs,,,May I see your inventory?,,Darf ich dein Inventar sehen?,¿Puedo ver tu inventario?,Puis-je consulter votre inventaire ?,Posso dare un'occhiata al tuo inventario?,在庫を見せてもらえるか？,물건 좀 봐도 될까요?,Czy mogę przejrzeć towar?,Posso ver seu inventário?,Можно увидеть ваш инвентарь?,Envanterini görebilir miyim?,我能看看你的物品栏吗？,我可以看看你的物品欄嗎？,¿Puedo ver tu inventario?
dialog_trader_response_specialjobshave,Quest,Dialogs,,,Got any special jobs?,,Irgendwelche besonderen Aufträge?,¿Tienes algún trabajo especial?,Vous avez des missions spéciales ?,Hai qualche lavoretto speciale?,特別な仕事はあるか？,특별한 일거리 없나요?,Masz jakąś robotę specjalną?,Tem algum trabalho especial?,Есть особое задание?,Hiç özel işin var mı?,找到特别的工作了吗？,有接到任何特殊任務嗎？,¿Tienes algún trabajo especial?
dialog_trader_response_theduke,Quest,Dialogs,,,The Duke?,,Der Duke?,¿El Duque?,Le Duc ?,Il Duca?,デューク？,듀크?,Książę?,O Duque?,Дюк?,Duke mü?,公爵？,公爵？,¿El Duque?
dialog_trader_response_whiteriveroutposts,Quest,Dialogs,,,White River?,,White River?,¿Río Blanco?,La Rivière blanche ?,White River?,ホワイトリバー？,화이트 리버?,White River?,Rio Branco?,Уайт-Ривер?,Beyaz Nehir mi?,白河？,懷特河？,¿Río Blanco?
dialog_trader_statement_admin,Quest,Dialogs,,,Admin Options,,Administrator-Optionen,Opciones de administración,Options admin.,Opzioni amministratore,管理オプション,관리 옵션,Opcje administratora,Opções de administrador,Настройки администратора,Yönetici Seçenekleri,管理选项,管理員選項,Opciones de administración
dialog_trader_statement_background,Quest,Dialogs,,,What would you like to know about?,,Was möchtest du gerne wissen?,¿Qué te gustaría saber?,Que voudriez-vous savoir ?,Cosa vorresti sapere?,何が知りたいですか？,뭘 알고 싶은 거야?,O czym teraz chcesz pogadać?,O que você gostaria de saber?,О чем вы хотите узнать?,Ne öğrenmek istersin?,您想知道些什么？,你想知道些什麼？,¿Qué te gustaría saber?
dialog_trader_statement_cassadores,Quest,Dialogs,,,The Duke's personal band of mercenaries.,,Die persönliche Truppe von Söldnern des Dukes.,La banda personal de mercenarios del Duque.,Il s'agit de la bande de mercenaires personnelle du Duc.,La banda di mercenari personale del Duca.,デュークの私設傭兵部隊だ。,듀크의 개인 용병단이지.,Osobista banda najemników Księcia.,O bando pessoal de mercenários do Duque.,Группа личных наемников Дюка.,Duke'ün kendi paralı asker ordusu.,公爵的私人佣兵团。,公爵的私人僱傭軍。,La banda personal de mercenarios del Duque.
dialog_trader_statement_currentjobs,Quest,Dialogs,,,Do any of these tasks sound like something you can do?,,"Klingt eine dieser Aufgaben wie etwas, das du tun könntest?",¿Alguna de estas tareas suena como algo que puedas hacer?,Est-ce que vous vous sentez d'accomplir une de ces tâches ?,Uno di questi compiti ti sembra fattibile?,何か君にできそうな仕事はあるか？,이 일들 중 할 수 있는 게 있을까?,Czy poradzisz sobie z takimi zadaniami?,Você consegue dar conta de alguma dessas tarefas?,Какая-нибудь из этих задач выполнима?,Bunlardan birini yapabileceğini düşünüyor musun?,这些任务中有你能完成的吗？,這些任務聽起來像是你能做的嗎？,¿Alguna de estas tareas suena como algo que puedas hacer?
dialog_trader_statement_navezgane,Quest,Dialogs,,,Navezgane County Arizona one of the last true Eden’s on Earth where crops can still grow which is mostly Apache Indian Reservation territory.,,"Navezgane County in Arizona ist eines der letzten wahren Eden der Erde, an denen noch Feldfrüchte gedeihen. Es ist größtenteils ein indianisches Reservat der Apachen.","Condado Navezgane, Arizona, uno de los últimos edenes verdaderos en la Tierra donde los cultivos todavía pueden crecer, que es en su mayoría territorio de la Reserva Indígena Apache.","Navezgane, comté de l'État de l'Arizona, est l'un des derniers paradis terrestres où les cultures poussent encore. Il occupe en majorité le territoire d'une réserve apache.","Navezgane County in Arizona uno degli ultimi veri paradisi terrestri dove le colture crescono ancora, che è principalmente territorio della riserva degli indiani apache.",アリゾナのネーブズジェーン郡はこの世の残された真の楽園の一つだろう。まだ作物も実っている。ほとんどの部分がアパッチ族のテリトリーだが。,"나베즈게인 카운티 애리조나는 지구 상의 마지막 진정한 에덴으로, 여전히 농작물이 자라고 대부분이 아파치 인디언 보호구역 영토에 속해있어. ","Hrabstwo Navezgane w stanie Arizona to jeden z ostatnich rajów na Ziemi, gdzie ziemia jest płodna. Większość terytorium wchodzi na skład rezerwatu Apaczów.","Condado Navezgane, Arizona, um dos últimos Édens na Terra onde ainda é possível cultivar alguma coisa. É mais um território de reserva de índios apache.","Округ Невезган в Аризоне — один из последних райских уголков на земле, где все еще могут расти сельскохозяйственные культуры. В основном, это территория индейской резервации апачей.","Arizona'daki Navezgane Kasabası, Dünya üzerinde hâlâ ekin yetiştirilebilen son yerdir, büyük bir kısmı Apaçi Kızılderili Ayrılmış Bölgesi'nde yer alır.",亚利桑那州的纳维戈恩是地球上最后的伊甸园了，那里的土地还能生长出粮食。它大部分都属于阿帕奇印第安人保留地。,地球上真正的伊甸园所剩無几，而亞利桑那州的暗黑伊甸園縣是其中之一，那裏的農作物仍然可以生長，大部分區域屬於阿帕奇印第安保留地。,"Condado Navezgane, Arizona, uno de los últimos edenes verdaderos en la Tierra donde los cultivos todavía pueden crecer, que es en su mayoría territorio de la Reserva Indígena Apache."
dialog_trader_statement_noah,Quest,Dialogs,,,"The founder of the White River Settler's Outposts, Noah White stood up to the Duke and is now on the run from the Cassadores.",,"Der Gründer des White River-Siedlungsaußenposten, Noah White, erhob sich gegen den Duke und ist nun auf der Flucht vor den Cassadores.","El fundador de los puestos de avanzadas de Río Blanco, Noah White, se enfrentó al Duque y ahora está huyendo de los Cassadores.","Noah White, le fondateur de l'avant-poste des colons de la Rivière blanche, s'est opposé au Duc. Depuis, les Cassadores cherchent à le traquer.","Il fondatore degli avamposti di White River, Noah White si è opposto al Duca e ora è in fuga dai Cassadore.",ホワイトリバー居留地の開拓者のノア・ホワイトはデュークに抵抗し、今はカサドーレスから逃げている。,화이트 리버 거주지 전초 기지의 설립자인 노아 화이트는 듀크에 맞섰고 이제는 카사도르로부터 도주 중이야.,"Noe, założyciel posterunków przy White River, postawił się Księciu i musi się przez to ukrywać przed Cassedore.","O fundador dos postos avançados de colonos de Rio Branco, Noah White, enfrentou o Duque e agora está fugindo dos Cassadores.","Ной Уайт, основатель отдаленного поселения Уайт-Ривер, противостоял Дюку и теперь скрывается от Кассадоров.","Beyaz Nehir Yerleşimcileri Karakolu'nun kurucusu Noah White, Duke'a karşı geldi ve şimdi Cassadore'lardan kaçıyor.",白河定居者前哨站的建立者诺亚·怀特曾勇敢地面对公爵，现在正被卡萨朵人追杀。,諾亞·懷特是懷特河移民前哨站的創始人，他勇敢地面對公爵，現在他正設法逃離卡薩多爾精銳輕步兵的追蹤。,"El fundador de los puestos de avanzadas de Río Blanco, Noah White, se enfrentó al Duque y ahora está huyendo de los Cassadores."
dialog_trader_statement_nojobs,Quest,Dialogs,,,I have no work at this time.,,Ich habe gerade keine Aufträge.,No tengo trabajo en este momento.,Je n'ai aucune mission à vous proposer pour l'instant.,Non ho lavoro al momento.,今は何も仕事がない。,지금은 일이 없어.,Obecnie nie mam żadnej roboty.,"No momento, não tenho trabalhos disponíveis.",В настоящий момент работы нет.,Şu anda iş yok.,我现在没有工作。,我目前沒有工作。,No tengo trabajo en este momento.
dialog_trader_statement_start,Quest,Dialogs,,,"Hello friend, how can I help you?",,"Hallo Freund, wie kann ich dir helfen?","Hola amigo, ¿en qué puedo ayudarte?",Bonjour. Comment puis-je vous aider ?,"Ciao, come posso aiutarti?",よう、何の用だい？,"안녕 친구, 어떻게 도와줄까?",Miło cię widzieć! Co cię sprowadza?,"Olá, colega. Como posso ajudar?","Привет, приятель, я могу вам помочь?","Merhaba dostum, sana nasıl yardımcı olabilirim?",您好，朋友，有什么需要的？,你好，朋友，需要幫助嗎？,"Hola amigo, ¿en qué puedo ayudarte?"
dialog_trader_statement_theduke,Quest,Dialogs,,,"The most powerful man in Navezgane before the war was an ambitious, crooked Native American of Apache decent named 'Duke Cassadore' which means Warrior and Chief in Apache.",,"Der mächtigste Mann in Navezgane war vor dem Krieg ein ehrgeiziger, korrupter amerikanischer Ureinwohner der Apachen, auch genannt „Duke Cassadore“, was in der Sprache der Apachen soviel bedeutet wie Krieger und Häuptling.","El hombre más poderoso de Navezgane antes de la guerra era un ambicioso y corrupto nativo americano de origen apache llamado ""Duque Cassadore"", que significa Guerrero y Jefe en Apache.","L'homme le plus puissant et corrompu de Navezgane avant la guerre était un descendant des Apaches portant le nom de ""Duc Cassadore"", une expression signifiant guerrier et chef dans la langue de ses aïeux.","L'uomo più potente di Navezgane prima della guerra era un ambizioso, disonesto nativo americano di discendenza Apache chiamato ""Duca Cassadore"" che significa guerriero e capo in Apache.",戦争が始まるまでネーブズジェーンで一番力を持っていた人物は、野心に溢れ歪んだネイティブアメリカンでアパッチ族の子孫の「デューク・カサドーレス」で、その名の意味は、アパッチの戦士と族長だ。,"전쟁 전 나베즈게인에서 가장 강력한 사람은 정직하지 않은 야망가, 아파치의 미국 원주민으로 이름은 '듀크 카사도르'였지. 아파치의 전사이자 족장이라는 뜻의 이름이야.","Najpotężniejszym człowiekiem w Navezgane przed wojną był ambitny, skorumpowany Apacz: „Książę Cassadore”. W języku Indian jego imię oznacza Wojownik i Wódz.","O homem mais poderoso em Navezgane antes da guerra era um índio americano corrupto e ambicioso dos apaches chamado “Duque Cassadore”, que significa “Guerreiro e Cacique” em apache.","Самым могущественным человеком в Невезгане до войны был амбициозный и бесчестный коренной американец из племени апачей, достойный своего имени Дюк Кассадор, что в переводе с апачского языка означает «воин и вождь».","Savaştan önce Navezgane'deki en güçlü adam, Apaçi dilinde Savaşçı ve Şef anlamına gelen ""Duke Cassadore"" adında Apaçi kökenli hırslı, düzenbaz bir adamdı.",战前纳维戈恩最有权势的人是个野心勃勃，心术不正的阿帕奇原住民，他被人称作“卡萨朵公爵”，在阿帕奇人的语言中是战士和酋长的意思。,戰爭前暗黑伊甸園最有權勢的人是一個野心勃勃、邪惡狡詐的阿帕契北美土著，名叫「卡薩多爾公爵」，意思是阿帕契的勇士和首領。,"El hombre más poderoso de Navezgane antes de la guerra era un ambicioso y corrupto nativo americano de origen apache llamado ""Duque Cassadore"", que significa Guerrero y Jefe en Apache."
